Trichoglossus moluccanus|Rainbow Lorikeet
Trichoglossus chlorolepidotus|Scaly-breasted Lorikeet
Platycercus adscitus|Pale-headed Rosella
Cacatua galerita|Sulphur-crested Cockatoo
Dacelo novaeguineae|Laughing Kookaburra
Gymnorhina tibicen|Australian Magpie
Strepera graculina|Pied Currawong
Corvus orru|Torresian Crow
Cracticus torquatus|Grey Butcherbird
Cracticus nigrogularis|Pied Butcherbird
Manorina melanocephala|Noisy Miner
Entomyzon cyanotis|Blue-faced Honeyeater
Meliphaga lewinii|Lewin's Honeyeater
Philemon corniculatus|Noisy Friarbird
Sphecotheres vieilloti|Australasian Figbird
Psophodes olivaceus|Eastern Whipbird
Malurus cyaneus|Superb Fairywren
Alectura lathami|Australian Brush-turkey
Eudynamys orientalis|Eastern Koel
Sericulus chrysocephalus|Regent Bowerbird
