Acanthorhynchus tenuirostris|Eastern Spinebill
Alectura lathami|Australian Brush-turkey
Alisterus scapularis|Australian King-Parrot
Aviceda subcristata|Pacific Baza
Burhinus grallarius|Bush Stone-curlew
Cacatua galerita|Sulphur-crested Cockatoo
Caligavis chrysops|Yellow-faced Honeyeater
Centropus phasianinus|Pheasant Coucal
Columba livia|Rock Dove
Corvus orru|Torresian Crow
Cracticus nigrogularis|Pied Butcherbird
Cracticus torquatus|Grey Butcherbird
Dacelo novaeguineae|Laughing Kookaburra
Entomyzon cyanotis|Blue-faced Honeyeater
Eolophus roseicapilla|Galah
Eudynamys orientalis|Eastern Koel
Gerygone olivacea|White-throated Gerygone
Gymnorhina tibicen|Australian Magpie
Haliastur sphenurus|Whistling Kite
Lichmera indistincta|Brown Honeyeater
Malurus cyaneus|Superb Fairywren
Manorina melanocephala|Noisy Miner
Meliphaga lewinii|Lewin's Honeyeater
Melithreptus albogularis|White-throated Honeyeater
Myzomela sanguinolenta|Scarlet Honeyeater
Ninox strenua|Powerful Owl
Ocyphaps lophotes|Crested Pigeon
Pardalotus striatus|Striated Pardalote
Philemon corniculatus|Noisy Friarbird
Platycercus adscitus|Pale-headed Rosella
Platycercus elegans|Crimson Rosella
Podargus strigoides|Tawny Frogmouth
Porphyrio melanotus|Australasian Swamphen
Psophodes olivaceus|Eastern Whipbird
Sericornis frontalis|White-browed Scrubwren
Sericulus chrysocephalus|Regent Bowerbird
Sphecotheres vieilloti|Australasian Figbird
Spilopelia chinensis|Spotted Dove
Strepera graculina|Pied Currawong
Trichoglossus chlorolepidotus|Scaly-breasted Lorikeet
Trichoglossus moluccanus|Rainbow Lorikeet
Vanellus miles|Masked Lapwing
Zanda funerea|Yellow-tailed Black-Cockatoo
