Acanthorhynchus tenuirostris_Eastern Spinebill
Alectura lathami_Australian Brush-turkey
Alisterus scapularis_Australian King-Parrot
Aviceda subcristata_Pacific Baza
Burhinus grallarius_Bush Stone-curlew
Cacatua galerita_Sulphur-crested Cockatoo
Caligavis chrysops_Yellow-faced Honeyeater
Centropus phasianinus_Pheasant Coucal
Columba livia_Rock Dove
Corvus orru_Torresian Crow
Cracticus nigrogularis_Pied Butcherbird
Cracticus torquatus_Grey Butcherbird
Dacelo novaeguineae_Laughing Kookaburra
Entomyzon cyanotis_Blue-faced Honeyeater
Eolophus roseicapilla_Galah
Eudynamys orientalis_Eastern Koel
Gerygone olivacea_White-throated Gerygone
Gymnorhina tibicen_Australian Magpie
Haliastur sphenurus_Whistling Kite
Lichmera indistincta_Brown Honeyeater
Malurus cyaneus_Superb Fairywren
Manorina melanocephala_Noisy Miner
Meliphaga lewinii_Lewin's Honeyeater
Melithreptus albogularis_White-throated Honeyeater
Myzomela sanguinolenta_Scarlet Honeyeater
Ninox strenua_Powerful Owl
Ocyphaps lophotes_Crested Pigeon
Pardalotus striatus_Striated Pardalote
Philemon corniculatus_Noisy Friarbird
Platycercus adscitus_Pale-headed Rosella
Platycercus elegans_Crimson Rosella
Podargus strigoides_Tawny Frogmouth
Porphyrio melanotus_Australasian Swamphen
Psophodes olivaceus_Eastern Whipbird
Sericornis frontalis_White-browed Scrubwren
Sphecotheres vieilloti_Australasian Figbird
Streptopelia chinensis_Spotted Dove
Strepera graculina_Pied Currawong
Trichoglossus chlorolepidotus_Scaly-breasted Lorikeet
Trichoglossus moluccanus_Rainbow Lorikeet
Vanellus miles_Masked Lapwing
Calyptorhynchus funereus_Yellow-tailed Black-Cockatoo
